Medidas de prevención del VIH/sida;Opinión sobre su eficacia;Sexo;Frecuencia de salidas nocturnas en los últimos 12 meses;Total
Tener pocas parejas;Total;Ambos sexos;Menos de 1 vez al mes;6.929,10
Tener pocas parejas;Total;Ambos sexos;No consta;71,1
Tener pocas parejas;Total;Varones;Total;10.532,10
Tener pocas parejas;Total;Varones;Al menos 1 vez al mes;7.566,40
Tener pocas parejas;Total;Varones;Menos de 1 vez al mes;2.930,70
Tener pocas parejas;Total;Varones;No consta;35
Tener pocas parejas;Total;Mujeres;Total;10.227,50
Tener pocas parejas;Total;Mujeres;Al menos 1 vez al mes;6.193,00
Tener pocas parejas;Total;Mujeres;Menos de 1 vez al mes;3.998,40
Tener pocas parejas;Total;Mujeres;No consta;36,1
Tener pocas parejas;Eficaz;Ambos sexos;Total;8.892,10
Tener pocas parejas;Eficaz;Ambos sexos;Al menos 1 vez al mes;5.729,20
Tener pocas parejas;Eficaz;Ambos sexos;Menos de 1 vez al mes;3.148,00
Tener pocas parejas;Eficaz;Ambos sexos;No consta;15
Tener pocas parejas;Eficaz;Varones;Total;4.670,50
Tener pocas parejas;Eficaz;Varones;Al menos 1 vez al mes;3.275,10
Tener pocas parejas;Eficaz;Varones;Menos de 1 vez al mes;1.384,70
Tener pocas parejas;Eficaz;Varones;No consta;10,7
Tener pocas parejas;Eficaz;Mujeres;Total;4.221,60
Tener pocas parejas;Eficaz;Mujeres;Al menos 1 vez al mes;2.454,10
Tener pocas parejas;Eficaz;Mujeres;Menos de 1 vez al mes;1.763,20
Tener pocas parejas;Eficaz;Mujeres;No consta;4,3
Tener pocas parejas;No eficaz;Ambos sexos;Total;10.822,30
Tener pocas parejas;No eficaz;Ambos sexos;Al menos 1 vez al mes;7.464,50
Tener pocas parejas;No eficaz;Ambos sexos;Menos de 1 vez al mes;3.326,30
Tener pocas parejas;No eficaz;Ambos sexos;No consta;31,5
Tener pocas parejas;No eficaz;Varones;Total;5.364,30
Tener pocas parejas;No eficaz;Varones;Al menos 1 vez al mes;3.985,70
Tener pocas parejas;No eficaz;Varones;Menos de 1 vez al mes;1.366,40
Tener pocas parejas;No eficaz;Varones;No consta;12,2
Tener pocas parejas;No eficaz;Mujeres;Total;5.458,00
Tener pocas parejas;No eficaz;Mujeres;Al menos 1 vez al mes;3.478,80
Tener pocas parejas;No eficaz;Mujeres;Menos de 1 vez al mes;1.959,90
Tener pocas parejas;No eficaz;Mujeres;No consta;19,2
Tener pocas parejas;No consta;Ambos sexos;Total;1.045,20
Tener pocas parejas;No consta;Ambos sexos;Al menos 1 vez al mes;565,7
Tener pocas parejas;No consta;Ambos sexos;Menos de 1 vez al mes;454,8
Tener pocas parejas;No consta;Ambos sexos;No consta;24,7
Tener pocas parejas;No consta;Varones;Total;497,3
Tener pocas parejas;No consta;Varones;Al menos 1 vez al mes;305,6
Tener pocas parejas;No consta;Varones;Menos de 1 vez al mes;179,6
Tener pocas parejas;No consta;Varones;No consta;12,1
Tener pocas parejas;No consta;Mujeres;Total;547,9
Tener pocas parejas;No consta;Mujeres;Al menos 1 vez al mes;260,1
Tener pocas parejas;No consta;Mujeres;Menos de 1 vez al mes;275,2
Tener pocas parejas;No consta;Mujeres;No consta;12,6
Usar un preservativo masculino;Total;Ambos sexos;Total;20.759,60
Usar un preservativo masculino;Total;Ambos sexos;Al menos 1 vez al mes;13.759,40
Usar un preservativo masculino;Total;Ambos sexos;Menos de 1 vez al mes;6.929,10
Usar un preservativo masculino;Total;Ambos sexos;No consta;71,1
